timestamp,status,remote,refid,stratum,type,when_seconds,poll,reach,delay_ms,offset_ms,jitter_ms
2026-02-08 22:00:01,+,140.203.204.77,162.159.200.123,4,u,55,64,1,37.56,88.5381,14.5353
2026-02-08 22:00:01,+,ntp0.cam.ac.uk,197.205.52.7,2,u,55,64,1,52.1143,91.9748,11.6142
2026-02-08 22:00:01,*,ptbtime1.ptb.de,.PTB.,1,u,54,64,1,71.3988,94.8425,10.6533
2026-02-08 22:00:01,+,time-a-g.nist.g,.NIST.,1,u,52,64,1,149.3336,99.1688,9.7043
2026-02-08 22:00:01,-,ns1.anu.edu.au,169.254.0.1,3,u,51,64,1,332.014,88.161,115.8745
2026-02-08 22:00:01,+,ntp-b3.nict.go.,.NICT.,1,u,50,64,1,425.0944,17.5817,76.8665
2026-02-08 22:20:01,+,140.203.204.77,162.159.200.123,4,u,50,64,277,24.7224,84.6853,13.6954
2026-02-08 22:20:01,+,ntp0.cam.ac.uk,197.205.52.7,2,u,55,64,377,40.2843,87.7775,14.3484
2026-02-08 22:20:01,+,ptbtime1.ptb.de,.PTB.,1,u,54,64,377,58.0974,92.8502,13.5899
2026-02-08 22:20:01,*,time-a-g.nist.g,.NIST.,1,u,47,64,377,105.5312,87.2713,11.41
2026-02-08 22:20:01,+,ns1.anu.edu.au,169.254.0.1,3,u,42,64,377,301.6348,82.1395,57.5178
2026-02-08 22:20:01,+,ntp-b3.nict.go.,.NICT.,1,u,45,64,377,272.6823,80.672,39.0915
2026-02-08 22:40:01,+,140.203.204.77,162.159.200.123,4,u,32,64,377,26.2625,49.4079,8.9489
2026-02-08 22:40:01,+,ntp0.cam.ac.uk,197.205.52.7,2,u,37,64,377,39.0259,39.1086,22.4207
2026-02-08 22:40:01,*,ptbtime1.ptb.de,.PTB.,1,u,42,64,177,58.4943,47.3016,12.7564
2026-02-08 22:40:01,+,time-a-g.nist.g,.NIST.,1,u,26,64,377,116.4224,40.4895,16.5312
2026-02-08 22:40:01,+,ns1.anu.edu.au,169.254.0.1,3,u,29,64,377,305.5341,39.9934,70.2645
2026-02-08 22:40:01,+,ntp-b3.nict.go.,.NICT.,1,u,31,64,377,284.8219,33.7341,49.0732
2026-02-08 23:00:01,-,140.203.204.77,162.159.200.123,4,u,24,64,377,28.4053,13.6132,15.6423
2026-02-08 23:00:01,+,ntp0.cam.ac.uk,197.205.52.7,2,u,22,64,377,37.2253,18.5731,13.1087
2026-02-08 23:00:01,*,ptbtime1.ptb.de,.PTB.,1,u,22,64,377,68.9444,29.435,6.5457
2026-02-08 23:00:01,+,time-a-g.nist.g,.NIST.,1,u,17,64,377,116.5002,25.1008,8.3945
2026-02-08 23:00:01,-,ns1.anu.edu.au,169.254.0.1,3,u,14,64,377,303.5126,11.6514,41.1655
2026-02-08 23:00:01,-,ntp-b3.nict.go.,.NICT.,1,u,14,64,377,278.118,24.44,51.686
2026-02-08 23:20:01,+,140.203.204.77,162.159.200.123,4,u,31,128,377,30.7243,5.0017,11.3993
2026-02-08 23:20:01,+,ntp0.cam.ac.uk,197.205.52.7,2,u,108,128,377,35.7464,10.4921,12.038
2026-02-08 23:20:01,+,ptbtime1.ptb.de,.PTB.,1,u,33,128,377,62.4047,16.3184,11.8065
2026-02-08 23:20:01,*,time-a-g.nist.g,.NIST.,1,u,37,128,377,117.235,3.824,18.732
2026-02-08 23:20:01,+,ns1.anu.edu.au,169.254.0.1,3,u,29,128,377,308.5604,0.6111,26.7383
2026-02-08 23:20:01,+,ntp-b3.nict.go.,.NICT.,1,u,37,128,377,274.7474,8.3516,60.164
2026-02-08 23:40:01,+,140.203.204.77,162.159.200.123,4,u,39,128,377,26.2731,27.791,57.8053
2026-02-08 23:40:01,+,ntp0.cam.ac.uk,197.205.52.7,2,u,123,128,377,47.6344,1.6622,27.76
2026-02-08 23:40:01,*,ptbtime1.ptb.de,.PTB.,1,u,56,128,377,61.1734,23.5397,20.7333
2026-02-08 23:40:01,+,time-a-g.nist.g,.NIST.,1,u,53,128,377,124.7009,-12.702,44.5729
2026-02-08 23:40:01,-,ns1.anu.edu.au,169.254.0.1,3,u,53,128,377,319.5495,-5.768,31.4404
2026-02-08 23:40:01,+,ntp-b3.nict.go.,.NICT.,1,u,57,128,377,300.0398,4.428,33.8782
2026-02-09 00:00:01,+,140.203.204.77,162.159.200.123,4,u,194,256,377,26.2731,27.791,56.6258
2026-02-09 00:00:01,+,ntp0.cam.ac.uk,197.205.52.7,2,u,138,256,377,34.9771,30.3362,14.5793
2026-02-09 00:00:01,+,ptbtime1.ptb.de,.PTB.,1,u,80,256,377,61.1734,23.5397,68.5093
2026-02-09 00:00:01,*,time-a-g.nist.g,.NIST.,1,u,200,256,377,108.8266,28.2455,17.9672
2026-02-09 00:00:01,-,ns1.anu.edu.au,169.254.0.1,3,u,195,256,377,343.4244,31.1431,40.9864
2026-02-09 00:00:01,+,ntp-b3.nict.go.,.NICT.,1,u,206,256,377,274.5835,23.588,50.5665
2026-02-09 00:20:01,+,140.203.204.77,162.159.200.123,4,u,77,128,377,52.5625,68.4781,78.4088
2026-02-09 00:20:01,+,ntp0.cam.ac.uk,197.205.52.7,2,u,25,128,377,35.2911,50.9309,59.0131
2026-02-09 00:20:01,+,ptbtime1.ptb.de,.PTB.,1,u,218,256,377,80.4721,30.3921,101.9427
2026-02-09 00:20:01,*,time-a-g.nist.g,.NIST.,1,u,80,128,373,114.4316,59.0596,87.2145
2026-02-09 00:20:01,+,ns1.anu.edu.au,169.254.0.1,3,u,68,128,377,338.5462,68.2738,77.7175
2026-02-09 00:20:01,+,ntp-b3.nict.go.,.NICT.,1,u,91,256,377,285.4676,67.1606,61.0886
2026-02-09 00:40:01,+,140.203.204.77,162.159.200.123,4,u,347,128,34,49.6532,76.6583,73.86
2026-02-09 00:40:01,+,ntp0.cam.ac.uk,197.205.52.7,2,u,26,128,77,46.7402,37.7682,168.8799
2026-02-09 00:40:01,*,ptbtime1.ptb.de,.PTB.,1,u,115,128,377,82.492,40.9651,129.2303
2026-02-09 00:40:01,+,time-a-g.nist.g,.NIST.,1,u,100,128,377,153.6962,77.3192,108.5632
2026-02-09 00:40:01,+,ns1.anu.edu.au,169.254.0.1,3,u,91,128,377,423.8794,2.8715,107.153
2026-02-09 00:40:01,+,ntp-b3.nict.go.,.NICT.,1,u,116,128,377,353.5993,76.9292,160.3443
2026-02-09 01:00:01,+,140.203.204.77,162.159.200.123,4,u,104,128,337,33.9418,22.182,146.6357
2026-02-09 01:00:01,+,ntp0.cam.ac.uk,197.205.52.7,2,u,54,128,363,72.2917,47.2347,153.6372
2026-02-09 01:00:01,*,ptbtime1.ptb.de,.PTB.,1,u,131,128,336,68.472,30.3008,11.4787
2026-02-09 01:00:01,-,time-a-g.nist.g,.NIST.,1,u,121,128,377,154.3795,31.9217,156.6935
2026-02-09 01:00:01,+,ns1.anu.edu.au,169.254.0.1,3,u,113,128,377,418.3844,-11.5155,180.6785
2026-02-09 01:00:01,+,ntp-b3.nict.go.,.NICT.,1,u,5,128,377,394.0397,13.5776,132.3271
2026-02-09 01:20:01,,140.203.204.77,162.159.200.123,4,u,1,64,1,63.4642,5.0658,4.3879
2026-02-09 01:20:01,*,ns1.anu.edu.au,169.254.0.1,3,u,1,128,1,417.3095,-42.1338,40.1261
2026-02-09 01:40:01,+,140.203.204.77,162.159.200.123,4,u,12,256,77,60.2463,2.5888,207.5059
2026-02-09 01:40:01,+,ntp0.cam.ac.uk,197.205.52.7,2,u,74,256,77,66.0037,-1.6822,268.7233
2026-02-09 01:40:01,*,ptbtime1.ptb.de,.PTB.,1,u,149,256,37,91.8088,-1.955,193.8124
2026-02-09 01:40:01,-,time-a-g.nist.g,.NIST.,1,u,9,256,77,134.0498,-8.9225,176.5145
2026-02-09 01:40:01,-,ns1.anu.edu.au,169.254.0.1,3,u,14,256,77,402.7098,156.2174,178.0286
2026-02-09 01:40:01,,ntp-b3.nict.go.,.NICT.,1,u,41,256,77,283.5537,174.6954,169.4625
2026-02-09 02:00:01,+,140.203.204.77,162.159.200.123,4,u,155,256,377,39.3632,184.3714,88.8777
2026-02-09 02:00:01,-,ntp0.cam.ac.uk,197.205.52.7,2,u,206,256,371,82.5877,167.0078,156.6141
2026-02-09 02:00:01,*,ptbtime1.ptb.de,.PTB.,1,u,33,256,377,96.8122,197.6722,104.8975
2026-02-09 02:00:01,-,time-a-g.nist.g,.NIST.,1,u,157,256,377,144.4388,178.1904,78.6132
2026-02-09 02:00:01,+,ns1.anu.edu.au,169.254.0.1,3,u,165,256,377,363.2184,125.8507,60.8328
2026-02-09 02:00:01,+,ntp-b3.nict.go.,.NICT.,1,u,196,256,377,283.5537,174.6954,165.712
2026-02-09 02:20:01,,140.203.204.77,162.159.200.123,4,u,95,256,3,57.4211,105.8037,102.9502
2026-02-09 02:20:01,,ntp0.cam.ac.uk,197.205.52.7,2,u,157,256,3,69.3567,111.096,104.774
2026-02-09 02:20:01,*,ptbtime1.ptb.de,.PTB.,1,u,211,256,1,101.9911,105.421,28.9214
2026-02-09 02:20:01,+,time-a-g.nist.g,.NIST.,1,u,153,256,3,147.8593,105.3478,101.3882
2026-02-09 02:20:01,+,ns1.anu.edu.au,169.254.0.1,3,u,223,256,1,372.4897,-97.8792,57.17
2026-02-09 02:20:01,,ntp-b3.nict.go.,.NICT.,1,u,123,256,3,347.7514,96.7139,159.6383
2026-02-09 02:40:01,+,140.203.204.77,162.159.200.123,4,u,235,512,37,50.9059,80.161,103.5516
2026-02-09 02:40:01,+,ntp0.cam.ac.uk,197.205.52.7,2,u,301,512,37,69.3567,111.096,92.7243
2026-02-09 02:40:01,*,ptbtime1.ptb.de,.PTB.,1,u,353,512,17,96.0781,99.147,26.3606
2026-02-09 02:40:01,+,time-a-g.nist.g,.NIST.,1,u,284,512,37,145.3249,108.8597,93.0435
2026-02-09 02:40:01,-,ns1.anu.edu.au,169.254.0.1,3,u,128,512,37,382.4008,82.3274,143.8609
2026-02-09 02:40:01,+,ntp-b3.nict.go.,.NICT.,1,u,284,512,37,307.882,86.5617,113.8097
2026-02-09 03:00:01,+,140.203.204.77,162.159.200.123,4,u,381,512,177,50.9059,80.161,102.996
