iteration,value_ns
1,317167
2,1242208
3,951792
4,999959
5,1011625
6,990209
7,1017375
8,991833
9,992291
10,1012250
11,986375
12,1008917
13,991917
14,1009792
15,993583
16,1009750
17,987792
18,1017958
19,980250
20,836125
21,1211375
22,939333
23,1025875
24,988875
25,988750
26,1074000
27,960250
28,977167
29,1046417
30,920250
31,1027708
32,1024250
33,975875
34,1032958
35,971875
36,907084
37,1122916
38,939125
39,852667
40,1086125
41,1089542
42,1018625
43,972375
44,1019042
45,990250
46,916333
47,1102500
48,988750
49,988125
50,941875
51,851291
52,1273042
53,918625
54,948375
55,1086000
56,984333
57,1000917
58,938291
59,1071334
60,1007375
61,964291
62,1022541
63,986167
64,1033208
65,978833
66,998542
67,1004958
68,997250
69,1003541
70,1002292
71,1000250
72,992750
73,989792
74,1020417
75,976917
76,1012167
77,760583
78,1318958
79,598417
80,1400834
81,610459
82,1385167
83,892166
84,1038750
85,983208
86,1011459
87,988166
88,1020250
89,995833
90,995458
91,987583
92,1010709
93,1011583
94,978250
95,1015375
96,993708
97,988875
98,1011291
99,988000
100,1012750
101,1004791
102,992334
103,987042
104,1019875
105,991709
106,1007375
107,981000
108,1017125
109,983125
110,1011208
111,987958
112,1007208
113,994042
114,1017000
115,982084
116,1010041
117,990125
118,1017000
119,998750
120,1005750
121,687625
122,1372125
123,895625
124,1067292
125,945750
126,1038209
127,978833
128,1004291
129,981041
130,1017042
131,997375
132,1017375
133,986000
134,999917
135,988959
136,1018500
137,976958
138,1030375
139,967416
140,1042292
141,956291
142,1018750
143,989500
144,810292
145,988542
146,1258041
147,923084
148,1031083
149,980875
150,1017833
151,982667
152,1030375
153,967417
154,1013875
155,995166
156,1026584
157,983625
158,985584
159,1012834
160,1002833
161,984166
162,1025792
163,967834
164,1009750
165,994208
166,1013333
167,986791
168,1014167
169,982667
170,1042083
171,957167
172,1016625
173,993709
174,997416
175,994167
176,1007792
177,992709
178,1011750
179,985875
180,1027250
181,986417
182,999459
183,986208
184,1010417
185,996584
186,1021041
187,976875
188,1006000
189,1001833
190,991292
191,990334
192,1033875
193,973167
194,1010417
195,998208
196,997125
197,990334
198,1017541
199,1006291
200,992292
201,985375
202,1015209
203,985125
204,1044375
205,941000
206,1025500
207,992084
208,1006833
209,984250
210,1014666
211,988750
212,1009500
213,988458
214,1012375
215,984917
216,1035875
217,960167
218,1019458
219,988875
220,1008167
221,1015875
222,968208
223,1007792
224,1006208
225,989084
226,1011083
227,983041
228,1050250
229,716208
230,1312500
231,911792
232,1032000
233,983750
234,1009875
235,988208
236,1011542
237,990041
238,1010917
239,985709
240,1040666
241,965958
242,1005250
243,998250
244,989833
245,1021125
246,1001041
247,1010625
248,956333
249,1024541
250,985417
251,1008666
252,1021625
253,921792
254,1074292
255,978041
256,991417
257,1013958
258,1006708
259,986084
260,996333
261,1011833
262,984833
263,1010583
264,1011417
265,984917
266,996583
267,1026083
268,968334
269,725167
270,1069375
271,1299500
272,892500
273,1019209
274,794916
275,1003500
276,996167
277,1014833
278,982458
279,1266583
280,927958
281,1020167
282,987959
283,1026917
284,981167
285,790000
286,1269583
287,945667
288,979417
289,1033916
290,977834
291,994375
292,983750
293,1022125
294,1015250
295,991667
296,998084
297,988459
298,1011875
299,988167
300,1033292
301,957167
302,1022625
303,988041
304,1008459
305,990625
306,1009916
307,1008750
308,999500
309,652542
310,1421333
311,883917
312,1036000
313,1011958
314,1002708
315,966666
316,1013583
317,985667
318,1015333
319,1009541
320,981500
321,995208
322,1017208
323,987292
324,1006958
325,986792
326,1014375
327,990417
328,1009250
329,988916
330,1009042
331,738041
332,905125
333,1314667
334,845334
335,980500
336,847625
337,1017583
338,1386084
339,614959
340,1104417
341,1280542
342,739125
343,984084
344,906416
345,976541
346,1380750
347,749125
348,1295917
349,897917
350,1042916
351,978708
352,1021000
353,969583
354,1029292
355,994500
356,982875
357,984792
358,1006625
359,1016833
360,1015166
361,993042
362,983459
363,989959
364,1019625
365,899750
366,907666
367,1241000
368,708041
369,1301084
370,915708
371,1028291
372,983209
373,1022333
374,1001292
375,984416
376,994042
377,1013416
378,986667
379,1027333
380,966667
381,1032750
382,981583
383,992417
384,1015791
385,994292
386,998750
387,987917
388,1011208
389,987292
390,1024250
391,995542
392,989209
393,989958
394,809792
395,1166833
396,1038250
397,1009916
398,976666
399,996208
400,1013917
401,990833
402,1008250
403,984000
404,1016541
405,986334
406,1023333
407,990917
408,1007458
409,996875
410,988542
411,990500
412,1022750
413,1004125
414,978125
415,997500
416,1009917
417,1006125
418,998500
419,982250
420,1031083
421,962833
422,1022042
423,986750
424,1008042
425,989458
426,1012042
427,1002417
428,995875
429,990208
430,1014125
431,981917
432,1012834
433,1010625
434,672542
435,1396083
436,897958
437,1011333
438,1012333
439,1004791
440,1000125
441,978250
442,1018625
443,981542
444,1010208
445,1019292
446,979458
447,993708
448,1015459
449,1002416
450,989250
451,1017042
452,980291
453,1001000
454,1001750
455,992875
456,1005375
457,1009583
458,990292
459,993333
460,1009334
461,875250
462,1148083
463,962917
464,1005500
465,1007625
466,990125
467,1015500
468,985958
469,1038083
470,951917
471,1020167
472,990625
473,1004542
474,994833
475,1031458
476,959000
477,1041292
478,963333
479,1027042
480,979084
481,998542
482,1014500
483,980917
484,1013125
485,982791
486,1037000
487,994500
488,981750
489,989834
490,1027917
491,966292
492,1016416
493,990667
494,1007500
495,1001333
496,995667
497,992333
498,1013542
499,986000
500,1011500
501,802209
502,1259375
503,923333
504,925000
505,1130792
506,947292
507,1020792
508,984667
509,1006125
510,1026541
511,940334
512,1010917
513,991792
514,1012833
515,984083
516,1021209
517,1001375
518,1009625
519,989917
520,997542
521,989125
522,1023625
523,1035625
524,939083
525,1023375
526,945958
527,1064292
528,977167
529,1008792
530,983833
531,1013542
532,992417
533,1023208
534,976625
535,1034167
536,954000
537,1023750
538,986541
539,1010125
540,988417
541,1038208
542,622833
543,1291750
544,1062791
545,988000
546,996458
547,1008042
548,1018375
549,976916
550,997584
551,1008958
552,987875
553,1009500
554,993792
555,1009833
556,986292
557,1020500
558,978917
559,1003417
560,1027583
561,963292
562,1015000
563,993500
564,1008334
565,989583
566,1007542
567,985958
568,1014458
569,987584
570,1012792
571,933500
572,1078500
573,975416
574,1018417
575,984500
576,1009666
577,987667
578,1030291
579,965750
580,1014375
581,954292
582,1055292
583,978333
584,1017333
585,994667
586,1000458
587,994959
588,1010166
589,991584
590,1017500
591,971500
592,1013666
593,986959
594,1017458
595,981959
596,1033500
597,594083
598,1482583
599,865875
600,1041125
601,979250
602,1032500
603,976000
604,1014334
605,997167
606,982333
607,1004542
608,1009167
609,991583
610,1009875
611,982792
612,1039333
613,959542
614,1018125
615,991208
616,993125
617,1009750
618,989250
619,1010250
620,1003417
621,694041
622,1378291
623,897459
624,1017125
625,1009875
626,1007875
627,987041
628,998000
629,1008083
630,983292
631,1015583
632,1007042
633,987958
634,998167
635,1000875
636,994000
637,1011500
638,978833
639,694333
640,1392291
641,727750
642,1250292
643,937416
644,1034750
645,971250
646,1010084
647,984750
648,1018542
649,980500
650,1033667
651,961291
652,1025167
653,979333
654,1016542
655,983334
656,1034250
657,960541
658,1019834
659,983500
660,1015209
661,980625
662,1039375
663,960500
664,1012708
665,993167
666,1005500
667,992542
668,1017917
669,1001500
670,985375
671,1020958
672,827500
673,1189917
674,953250
675,1005333
676,1007417
677,988000
678,809750
679,1243041
680,969250
681,977792
682,1016125
683,996625
684,996000
685,1000000
686,1024584
687,960000
688,1028958
689,975042
690,1015708
691,983542
692,1038958
693,965167
694,1009583
695,994834
696,1004250
697,988708
698,1033833
699,970792
700,1010833
701,1003000
702,984250
703,999042
704,1023375
705,979625
706,1006583
707,987250
708,1016083
709,982542
710,1034208
711,961542
712,1017541
713,995042
714,1009417
715,981458
716,1032583
717,966625
718,1016833
719,981542
720,1014125
721,830666
722,1221500
723,930458
724,1007417
725,1007000
726,1017000
727,989125
728,978791
729,1023709
730,981542
731,1012792
732,986333
733,1012916
734,983167
735,1017500
736,984250
737,1014083
738,985750
739,1019250
740,1002083
741,989000
742,993583
743,720209
744,1344833
745,928125
746,1031875
747,976083
748,994834
749,1016667
750,981500
751,1012125
752,1007250
753,988625
754,703458
755,1371750
756,902000
757,1033458
758,984666
759,1008167
760,776750
761,1280667
762,924708
763,1009250
764,689584
765,1099000
766,1271792
767,936083
768,1010125
769,988125
770,1035375
771,869125
772,1135166
773,953459
774,1021833
775,983458
776,1036459
777,958666
778,1025709
779,977292
780,1014833
781,986042
782,1033333
783,961542
784,1019041
785,986084
786,1013750
787,991958
788,1028083
789,965167
790,1029291
791,967791
792,1016667
793,987125
794,1009375
795,991459
796,1010333
797,1022958
798,961583
799,1007583
800,1027459
801,973916
802,997292
803,1014834
804,985750
805,995875
806,1033416
807,958625
808,1023334
809,984250
810,1008750
811,988916
812,1019292
813,988583
814,735166
815,1348792
816,886708
817,1040750
818,998042
819,991417
820,672417
821,1430375
822,887083
823,1003458
824,1033292
825,952375
826,1025042
827,995833
828,1002750
829,979042
830,1047083
831,956583
832,1026083
833,972459
834,773250
835,1291375
836,931916
837,1011584
838,1006833
839,987875
840,1005000
841,996916
842,1028542
843,963125
844,1017791
845,996542
846,999958
847,999792
848,998292
849,993708
850,1010709
851,987459
852,1015000
853,985416
854,770625
855,1282834
856,943459
857,1006875
858,1013208
859,980417
860,1023791
861,976042
862,1013875
863,986792
864,1012083
865,986291
866,1031500
867,963959
868,1012416
869,998917
870,1001958
871,990875
872,1028167
873,967333
874,794958
875,1264167
876,942666
877,1005167
878,1024583
879,964291
880,1019834
881,984666
882,1019875
883,981375
884,1022625
885,969333
886,1015125
