iteration,value_ns
1,12917
2,958
3,792
4,791
5,792
6,792
7,792
8,750
9,792
10,792
11,792
12,792
13,791
14,792
15,791
16,792
17,750
18,750
19,791
20,792
21,750
22,792
23,792
24,792
25,750
26,750
27,792
28,750
29,792
30,750
31,792
32,791
33,792
34,750
35,792
36,750
37,750
38,791
39,792
40,750
41,792
42,792
43,791
44,792
45,791
46,792
47,791
48,792
49,791
50,792
51,750
52,750
53,792
54,792
55,792
56,750
57,750
58,791
59,750
60,791
61,792
62,750
63,792
64,792
65,792
66,792
67,750
68,792
69,792
70,792
71,791
72,792
73,791
74,792
75,791
76,750
77,750
78,792
79,791
80,792
81,791
82,792
83,750
84,792
85,791
86,750
87,792
88,792
89,750
90,792
91,791
92,792
93,791
94,792
95,791
96,750
97,791
98,792
99,791
100,750
101,750
102,792
103,792
104,792
105,750
106,792
107,791
108,792
109,750
110,792
111,792
112,750
113,792
114,791
115,750
116,791
117,792
118,750
119,791
120,750
121,791
122,792
123,792
124,792
125,792
126,750
127,750
128,750
129,792
130,792
131,750
132,750
133,791
134,792
135,791
136,792
137,791
138,750
139,791
140,792
141,791
142,792
143,750
144,750
145,750
146,791
147,792
148,792
149,750
150,792
151,750
152,792
153,792
154,750
155,792
156,750
157,792
158,750
159,750
160,750
161,791
162,750
163,750
164,792
165,750
166,750
167,792
168,750
169,792
170,792
171,834
172,917
173,833
174,792
175,750
176,750
177,791
178,792
179,792
180,792
181,792
182,791
183,792
184,750
185,750
186,792
187,750
188,750
189,791
190,792
191,792
192,792
193,792
194,792
195,791
196,792
197,791
198,792
199,792
200,792
201,791
202,750
203,791
204,792
205,792
206,792
207,791
208,750
209,791
210,792
211,792
212,792
213,750
214,792
215,791
216,792
217,833
218,750
219,750
220,750
221,791
222,792
223,791
224,792
225,750
226,792
227,792
228,750
229,792
230,792
231,791
232,792
233,791
234,792
235,792
236,792
237,792
238,750
239,792
240,791
241,792
242,791
243,750
244,791
245,792
246,792
247,791
248,750
249,791
250,792
251,791
252,750
253,791
254,750
255,791
256,792
257,792
258,750
259,792
260,791
261,792
262,791
263,750
264,791
265,792
266,792
267,792
268,791
269,792
270,792
271,792
272,750
273,750
274,792
275,750
276,792
277,791
278,750
279,791
280,792
281,791
282,792
283,792
284,792
285,792
286,792
287,791
288,750
289,791
290,792
291,792
292,750
293,750
294,792
295,791
296,750
297,791
298,834
299,791
300,750
301,750
302,792
303,792
304,750
305,750
306,750
307,792
308,792
309,750
310,750
311,791
312,792
313,750
314,750
315,750
316,750
317,792
318,750
319,792
320,750
321,792
322,833
323,750
324,791
325,750
326,750
327,792
328,792
329,750
330,750
331,791
332,792
333,791
334,792
335,792
336,750
337,792
338,750
339,792
340,791
341,750
342,750
343,792
344,792
345,750
346,792
347,791
348,792
349,792
350,791
351,792
352,750
353,792
354,792
355,750
356,792
357,791
358,750
359,791
360,792
361,792
362,792
363,750
364,750
365,792
366,791
367,750
368,791
369,792
370,750
371,792
372,750
373,792
374,791
375,792
376,792
377,792
378,792
379,791
380,792
381,791
382,750
383,791
384,792
385,750
386,750
387,750
388,791
389,792
390,791
391,750
392,791
393,834
394,750
395,792
396,791
397,792
398,750
399,791
400,750
401,792
402,791
403,792
404,750
405,791
406,792
407,792
408,750
409,792
410,791
411,750
412,750
413,750
414,750
415,750
416,792
417,792
418,750
419,750
420,750
421,791
422,750
423,791
424,750
425,792
426,791
427,792
428,792
429,750
430,750
431,750
432,791
433,792
434,750
435,750
436,750
437,750
438,750
439,750
440,750
441,750
442,750
443,750
444,750
445,792
446,750
447,750
448,791
449,792
450,750
451,750
452,750
453,750
454,792
455,792
456,750
457,750
458,750
459,791
460,792
461,750
462,750
463,750
464,792
465,791
466,792
467,750
468,750
469,791
470,792
471,750
472,791
473,792
474,792
475,791
476,792
477,792
478,750
479,750
480,791
481,792
482,791
483,750
484,750
485,750
486,750
487,791
488,792
489,750
490,750
491,750
492,750
493,750
494,750
495,750
496,792
497,792
498,791
499,792
500,792
501,750
502,750
503,750
504,750
505,792
506,791
507,792
508,750
509,750
510,750
511,750
512,750
513,750
514,791
515,792
516,750
517,750
518,750
519,750
520,750
521,750
522,792
523,792
524,750
525,750
526,792
527,833
528,792
529,750
530,750
531,750
532,750
533,791
534,750
535,750
536,750
537,792
538,792
539,791
540,750
541,750
542,792
543,792
544,750
545,750
546,791
547,792
548,792
549,750
550,792
551,792
552,750
553,750
554,750
555,750
556,792
557,791
558,792
559,792
560,750
561,750
562,750
563,750
564,750
565,750
566,750
567,792
568,791
569,792
570,750
571,750
572,750
573,750
574,750
575,750
576,750
577,750
578,750
579,792
580,750
581,750
582,791
583,792
584,750
585,750
586,750
587,750
588,792
589,792
590,750
591,750
592,750
593,750
594,750
595,750
596,750
597,750
598,750
599,750
600,792
601,750
602,750
603,791
604,792
605,792
606,791
607,750
608,792
609,791
610,792
611,792
612,750
613,750
614,791
615,792
616,791
617,750
618,791
619,792
620,750
621,791
622,792
623,750
624,750
625,750
626,750
627,750
628,750
629,750
630,792
631,792
632,791
633,792
634,792
635,750
636,750
637,750
638,750
639,792
640,791
641,792
642,750
643,750
644,750
645,750
646,750
647,750
648,791
649,792
650,750
651,750
652,750
653,750
654,750
655,750
656,792
657,792
658,792
659,791
660,792
661,791
662,792
663,750
664,750
665,750
666,750
667,791
668,750
669,750
670,750
671,750
672,750
673,791
674,750
675,750
676,792
677,792
678,750
679,750
680,791
681,792
682,792
683,750
684,792
685,750
686,750
687,750
688,750
689,750
690,792
691,791
692,792
693,792
694,750
695,750
696,750
697,750
698,750
699,750
700,750
701,792
702,750
703,792
704,750
705,750
706,750
707,750
708,750
709,750
710,750
711,791
712,750
713,792
714,750
715,792
716,791
717,750
718,750
719,750
720,750
721,750
722,792
723,750
724,750
725,750
726,750
727,750
728,750
729,750
730,750
731,750
732,750
733,750
734,792
735,792
736,792
737,791
738,750
739,792
740,791
741,750
742,750
743,750
744,750
745,750
746,750
747,792
748,791
749,750
750,791
751,750
752,791
753,792
754,792
755,791
756,750
757,750
758,750
759,750
760,750
761,750
762,750
763,791
764,792
765,750
766,750
767,750
768,750
769,750
770,750
771,791
772,750
773,792
774,750
775,750
776,791
777,750
778,750
779,791
780,792
781,792
782,791
