iteration,value_ns
1,270375
2,-5583
3,-13792
4,16333
5,14625
6,-18583
7,-63000
8,94125
9,-122375
10,-49583
11,-16792
12,201833
13,-22333
14,10458
15,-35125
16,38542
17,-34250
18,62583
19,-60166
20,25333
21,-8250
22,18833
23,-22583
24,12792
25,2333
26,-9375
27,-34375
28,40542
29,-29959
30,6625
31,-5791
32,10500
33,-584
34,7834
35,1833
36,-500
37,-13792
38,2000
39,5417
40,-3875
41,-1458
42,2000
43,-1667
44,13875
45,-2500
46,-1708
47,-11292
48,1958
49,584
50,-709
51,-833
52,10917
53,-17500
54,18416
55,-4291
56,-14375
57,14916
58,4459
59,-4917
60,18333
61,-21541
62,10875
63,-9250
64,-11667
65,28417
66,-7875
67,-6375
68,6750
69,-4584
70,-92291
71,113625
72,-27167
73,4417
74,3625
75,-2250
76,-60167
77,77125
78,-17583
79,1208
80,-83000
81,101875
82,-21667
83,3584
84,1041
85,1834
86,541
87,-4000
88,3584
89,-31625
90,45750
91,-19542
92,6958
93,-5541
94,3791
95,-5250
96,2417
97,-80000
98,100417
99,-28584
100,20250
101,-10458
102,-5000
103,25083
104,-27291
105,10666
106,-11250
107,8750
108,-3916
109,2291
110,-2458
111,750
112,4500
113,-6958
114,5750
115,21250
116,-19292
117,-9000
118,13042
119,-12042
120,17500
121,-14708
122,-5125
123,6541
124,-4833
125,5958
126,-5958
127,15292
128,-19167
129,23250
130,-20000
131,7958
132,-4416
133,2291
134,-1000
135,1375
136,-7541
137,6500
138,-3417
139,2250
140,-583
141,19000
142,-26959
143,14167
144,-7458
145,6750
146,-6292
147,-4750
148,6792
149,-1334
150,-666
151,16625
152,-18417
153,3417
154,1166
155,-1333
156,21667
157,-26417
158,13042
159,-10000
160,708
161,83
162,-1958
163,4583
164,-2250
165,8709
166,-10375
167,2916
168,-750
169,5625
170,21917
171,-37083
172,7416
173,3834
174,-1334
175,-1083
176,3500
177,-3208
178,17083
179,-21208
180,8041
181,17042
182,-25708
183,2625
184,3916
185,-3291
186,6416
187,11250
188,-24458
189,15958
190,-9125
191,4959
192,-7250
193,7833
194,-4958
195,6666
196,-6375
197,7834
198,-250
199,1541
200,-22416
201,24041
202,7917
203,1792
204,-22667
205,5542
206,-3875
207,2541
208,-1333
209,542
210,5291
211,1917
212,-8667
213,2584
214,-1917
215,23708
216,-29333
217,9125
218,-3667
219,16250
220,61375
221,-96083
222,22333
223,-3041
224,83
225,-292
226,500
227,-458
228,6833
229,-7666
230,-250
231,5875
232,14791
233,-25083
234,14500
235,-11333
236,3916
237,-2333
238,1375
239,-1500
240,18333
241,-20833
242,5667
243,-1417
244,9542
245,-11875
246,-125
247,-459
248,3917
249,13583
250,-25583
251,12083
252,10459
253,-16709
254,10084
255,-4084
256,-4416
257,-12792
258,21625
259,-27792
260,22834
261,-88334
262,114917
263,-46333
264,9375
265,-68417
266,104917
267,-21875
268,-11375
269,7666
270,-2291
271,750
272,-18125
273,36208
274,-21333
275,16458
276,-13875
277,-138292
278,206917
279,-74125
280,10833
281,-6708
282,917
283,458
284,458
285,10875
286,-14208
287,2458
288,-166
289,-1625
290,15375
291,-15167
292,3750
293,-3125
294,-8833
295,-459
296,1084
297,-5792
298,1583
299,9584
300,-11542
301,1333
302,-1291
303,-1792
304,1333
305,4500
306,-4958
307,1417
308,-3042
309,833
310,-161708
311,226333
312,-59458
313,14417
314,-5459
315,30417
316,-39792
317,15250
318,-7958
319,1500
320,0
321,417
322,-10334
323,3250
324,-64166
325,81333
326,-24500
327,4083
328,-114083
329,140375
330,-36458
331,7916
332,-2541
333,1041
334,-3541
335,2250
336,-584
337,-166
338,9875
339,-4209
340,-4875
341,125
342,1084
343,500
344,-1709
345,1959
346,27416
347,-13541
348,-1584
349,3084
350,-3292
351,5042
352,-131875
353,170958
354,-38083
355,-25042
356,41667
357,-40334
358,27584
359,-5042
360,-2667
361,4834
362,-2250
363,-3000
364,3958
365,26750
366,-33292
367,11500
368,-5666
369,458
370,-1125
371,1458
372,-875
373,417
374,-958
375,833
376,-3958
377,15083
378,-6833
379,-2750
380,-3084
381,2084
382,583
383,-833
384,-750
385,250
386,-750
387,5500
388,-10709
389,20334
390,-18125
391,5583
392,7458
393,-8625
394,-541
395,1625
396,-1875
397,11750
398,-14459
399,1459
400,-2209
401,18709
402,-13875
403,0
404,-875
405,-292
406,-2208
407,4458
408,-1958
409,125
410,-750
411,4375
412,-4959
413,11042
414,-13042
415,3709
416,-1334
417,875
418,-3625
419,8542
420,-6583
421,2041
422,-5750
423,2834
424,3000
425,11250
426,-10125
427,-1250
428,-1209
429,417
430,-3833
431,8166
432,-2875
433,-2166
434,2166
435,-1291
436,708
437,3250
438,7792
439,-14875
440,4541
441,-5000
442,4750
443,6584
444,-8000
445,-250
446,-1042
447,2208
448,-208
449,-958
450,-542
451,667
452,-168542
453,208417
454,-50834
455,10792
456,542
457,125
458,11458
459,-12583
460,-84
461,2250
462,2292
463,10083
464,-10958
465,-67500
466,82958
467,-21291
468,4333
469,625
470,-2208
471,1541
472,-3083
473,9167
474,-11084
475,19250
476,-8750
477,-10416
478,-167
479,7542
480,-4834
481,6000
482,-6541
483,3000
484,1416
485,13834
486,-21709
487,22500
488,-21750
489,5750
490,-1958
491,250
492,-417
493,625
494,-666
495,166
496,-83
497,-3000
498,13167
499,5083
500,-22792
501,11625
502,-5708
503,3375
504,-1833
505,25125
506,-34875
507,13375
508,-6667
509,167
510,24041
511,-12208
512,-3208
513,-4834
514,125
515,17334
516,-23125
517,10000
518,-542
519,-6708
520,-14459
521,3125
522,-2416
523,-1125
524,-292
525,15750
526,-375
527,9125
528,-20833
529,21375
530,-8292
531,3042
532,-1959
533,1875
534,-2375
535,2709
536,-2375
537,2083
538,-15708
539,-137584
540,178417
541,-49833
542,30833
543,-5292
544,-2416
545,-15709
546,14125
547,-12416
548,1125
549,-2292
550,333
551,-1041
552,39458
553,-17542
554,-9500
555,2167
556,-3208
557,6166
558,-2083
559,-3417
560,2959
561,-2584
562,4459
563,-5584
564,3959
565,7750
566,-8584
567,11917
568,-13583
569,9125
570,-13959
571,10542
572,-2000
573,-3708
574,4708
575,-1208
576,23250
577,-18167
578,-7083
579,6791
580,-5125
581,1750
582,4709
583,-11000
584,6291
585,-375
586,-1833
587,13417
588,-13750
589,-37292
590,46708
591,-11125
592,42
593,10667
594,-11417
595,-250
596,7458
597,-4000
598,3875
599,-10000
600,9500
601,-3541
602,875
603,-1084
604,42
605,-167
606,84
607,541
608,9042
609,-12333
610,4625
611,6625
612,-7709
613,5334
614,-459
615,-958
616,7542
617,-12917
618,-958
619,3291
620,-2333
621,2292
622,3250
623,-8834
624,2834
625,3083
626,-417
627,0
628,-166
629,-42
630,0
631,-667
632,-500
633,25209
634,-17625
635,-8084
636,500
637,-291
638,-2834
639,3875
640,-6291
641,6416
642,-4708
643,-1000
644,9292
645,-6292
646,37000
647,-38917
648,10292
649,-8125
650,-49833
651,63792
652,-20334
653,9834
654,541
655,-2666
656,17916
657,-21041
658,13041
659,2084
660,-6959
661,-5250
662,709
663,-375
664,375
665,-542
666,3792
667,-2917
668,12542
669,-15417
670,4750
671,7708
672,-11958
673,-1083
674,2250
675,500
676,666
677,-875
678,917
679,-917
680,10834
681,-20292
682,20458
683,-291
684,-11292
685,-208
686,375
687,-2375
688,1541
689,4167
690,-4708
691,11375
692,-3000
693,-10417
694,750
695,7208
696,3292
697,-8167
698,917
699,-1083
700,1000
701,625
702,250
703,625
704,-6042
705,24917
706,-24667
707,7083
708,-2041
709,-500
710,-584
711,2000
712,542
713,875
714,-4750
715,250
716,1292
717,15750
718,-198417
719,230250
720,-59208
721,15125
722,-3500
723,625
724,-5167
725,22958
726,-21083
727,5792
728,20541
729,-9750
730,-15833
731,3792
732,-2167
733,583
734,-416
735,-180875
736,223458
737,-52375
738,35667
739,-29459
740,1709
741,14000
742,-14125
743,4500
744,-1209
745,-791
746,6458
747,-6667
748,2959
749,-2750
750,-792
751,15167
752,-18000
753,9625
754,-6917
755,1583
756,-625
757,-1833
758,-2250
759,10292
760,-7000
761,8375
762,-8084
763,-1041
764,-584
765,709
766,14958
767,-13125
768,-2958
769,-834
770,5125
771,-1958
772,958
773,4625
774,-6416
775,10166
776,-2958
777,-8917
778,15375
779,-31333
780,6000
781,-2125
782,23667
783,-10167
784,4917
785,-4042
786,-4583
787,2458
788,13458
789,-16291
790,29375
791,-15084
792,-8250
793,-165166
794,209833
795,-55208
796,13291
797,-3916
798,583
799,-708
800,12708
801,-20417
802,14125
803,-12291
804,8791
805,5250
806,3584
807,-4959
808,-6541
809,1458
810,8125
811,-11125
812,27708
813,-32916
814,6250
815,166
816,584
817,-625
818,291
819,14334
820,-15875
821,2083
822,-1292
823,1542
824,-542
825,42
826,17458
827,-20666
828,5541
829,-1666
830,-375
831,791
832,500
833,542
834,-5625
835,10333
836,-6083
837,833
838,15709
839,-21834
840,6750
841,-1833
842,-2500
843,3208
844,-583
845,-3875
846,12083
847,-8833
848,1333
849,-1291
850,10083
851,-12833
852,4625
853,-1584
854,292
855,-917
856,-2458
857,3833
858,19125
859,-25083
860,3458
861,4959
862,-1000
863,17541
864,-23208
865,5667
866,-2334
867,-3041
868,-167
869,5042
870,-7917
871,22125
872,-9458
873,-5375
874,11166
875,-875
876,-13750
877,-166416
878,214541
879,-57250
880,10792
881,1333
882,-2916
883,4333
884,-2375
885,4667
886,-7542
887,25167
888,-27084
889,8625
890,20334
891,-31625
892,5291
893,2459
894,750
895,-1042
896,333
897,6084
898,-6292
899,458
900,21292
901,-30917
902,14709
903,-4917
904,-583
905,1375
906,2416
907,959
908,-3542
909,8167
910,-10584
911,21542
912,-24792
913,11542
914,-10625
915,-42
916,2584
917,9458
918,-5083
919,-91542
920,113833
